År	Län	Distance from station	Graderingsdatum	Mjöldagg % ang blad 1–3	Kornets bladfläcksjuka % ang blad 1–3	Sköldfläcksjuka % ang blad 1–3	Kornrost % ang blad 1–3	Trips antal/strå	Trips % ang bladslidor	Havrebladlus antal/strå	Sädesbladlus antal/strå	Svartpricksjuka % ang blad 1–3	Trips antal/planta	Bladlus antal/blad	Gröna löss antal/25 pl	Stritnymfer antal/blad	Vetets bladfläcksjuka % ang blad 1–3	Stråknäckare index	Primär angrepp % ang plantor	Bladmögel % ang plantor	Rotbrand ang pl/10 pl	Apotecier A antal/25 skl	Apotecier C antal/25 skl	Ärtvecklare antal/fälla	Bladmögel % ang bladyta	Bladfläcksvampar % ang blad 1–3	Betfluga 0–5	Jordburna insekter ang pl/10 pl	Fusarium % ang plantor	Rapsbagge antal/planta	Betrost % angripna blad	Stritar antal/dygn/fälla1	Stritar antal/dygn/fälla2	Betfluga ang pl/25 pl	Mjöldagg % angripna blad	Ärtbladlus antal/toppskott	Blygrå rapsvivel antal/planta	Längd cm	Cercospora % angripna blad	Stinkfly antal/blad	Betbladlus ang pl/25 pl	Svamp totalt % angripna blad	Ärtvivel % angripna blad	Planttäthet antal/100m	Alternaria % ang bladyta	Minerarfluga-stick % ang blad 1–3	Apotecier B antal/25 skl	Bipolaris % ang plantor	Apotecier D antal/25 skl	Jordloppor ang pl/25 pl	Bladmögel % angripna blad	Fritfluga % ang plantor	Jordloppor antal/meter	Brunrost % ang blad 1–3	Gräsbladlus antal/strå	Trips ang pl/25 pl	Vattentillgång 0–5	Gulrost % ang blad 1–3	Betbladlus antal/planta	Trips antal/toppskott	Kronrost % ang blad 1–3	Ramularia % angripna blad	Jordloppor % ang plantor	Nederbörd mm	Fjärilslarver % angripna blad
2007	Skåne län		2007-04-23	0								34					0									34																												0				0							
2007	Skåne län		2007-05-07	0						0	0	16					0									0																												0	0			0						1	
2007	Skåne län		2007-05-14	0						0	0	16					0									16																												0	0			0						19	
2007	Skåne län		2007-05-21	0						0	0	8					0									8																												0	0			0						31	
2007	Skåne län		2007-05-28	0						0	0	6					0									0																												0	0			0						2	
2007	Skåne län		2007-06-04	0						0	0	0					0									0																												0	0			0						25	
2007	Skåne län		2007-06-11	0						0	0	28					0									28																												18	0			0						0	
2007	Skåne län		2007-06-18	0						0	0,8	60					0									60																												24	0			0						41	
2007	Skåne län		2007-06-25	0						0	0	72					4									0																												80	0			0						40	
2007	Skåne län		2007-07-02	0						0	0	90					0									90																												96	0			0						30	
2007	Skåne län	30-40	2007-04-30	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	30-40	2007-04-23	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	30-40	2007-05-07	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	30-40	2007-05-14	0	0	0	0			0	0																																												0										
2007	Skåne län	30-40	2007-05-21	20	8	0	0			0	0								0																											0									0										
2007	Skåne län	30-40	2007-05-28	16	0	0	0			0	0								0																											0									0										
2007	Skåne län	30-40	2007-06-04	56	16	0	0			0	0								0																											0									0										
2007	Skåne län	30-40	2007-06-11	52	0	0	0			0	0,2								0																																				0										
2007	Skåne län	30-40	2007-06-18	60	16	0	14			0	0																																												0,3										
2007	Skåne län	30-40	2007-06-25	66	12	0	20			0	0																																												0										
2007	Skåne län	30-40	2007-07-02	40	24	0	28			0	0																																												0										
2007	Skåne län	40-50	2007-04-30	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	40-50	2007-04-23	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	40-50	2007-05-07	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	40-50	2007-05-14	0	0	0	0			0	0																																			0									0										
2007	Skåne län	40-50	2007-05-21	0	0	0	0			0	0								0																											0									0										
2007	Skåne län	40-50	2007-05-28	0	18	0	0			0	0								0																											0									0										
2007	Skåne län	40-50	2007-06-04	0	8	0	6			0,5	0																																			0									0										
2007	Skåne län	40-50	2007-06-11	0	48	0	0			0,01	0																																												0										
2007	Skåne län	40-50	2007-06-18	0	70	0	10			0	0																																												0										
2007	Skåne län	40-50	2007-06-25	0	78	0	8			0	0																																												0										
2007	Skåne län	40-50	2007-07-02	0	100	0	10			0	0																																												0										
2007	Skåne län	40-50	2007-04-30	0						0	0	24					0									24																												0	0			0						0	
2007	Skåne län	40-50	2007-04-23	0								44					0									44																												0				0							
2007	Skåne län	40-50	2007-05-07	0						0	0	6					0									0																												0	0			0						1	
2007	Skåne län	40-50	2007-05-14	0						0	0	10					0									10																												0	0			0						17	
2007	Skåne län	40-50	2007-05-21	0						0	0	10					0									10																												0	0			0						34	
2007	Skåne län	40-50	2007-05-28	4						0	0	12					0									0																												2	0			2						2	
2007	Skåne län	40-50	2007-06-04	0,01						0,1	0	0					0									0																												0	0			0						15	
2007	Skåne län	40-50	2007-06-11	0						0	0	18					0									18																												0	0			16						0	
2007	Skåne län	40-50	2007-06-18	38						0	0	62					0									62																												0	0			28						33	
2007	Skåne län	40-50	2007-06-25	8						0	0,2	68					6									0																												0	0			42						32	
2007	Skåne län	40-50	2007-07-02	0						0	0	78					0									78																												0	0			90						25	
2007	Skåne län	10-20	2007-04-30	6		0		0	0	0	0																																											36	0										
2007	Skåne län	10-20	2007-04-23	6		0		0	0	0	0																																											20	0										
2007	Skåne län	10-20	2007-05-07	32		6		0,05		0	0																																											24	0										
2007	Skåne län	10-20	2007-05-14	24		8		0		0	0																																											36	0										
2007	Skåne län	10-20	2007-05-21	42		0		0	0	0	0																																											48	0										
2007	Skåne län	10-20	2007-06-04	20		18		0	0	0	0																																											100	0										
2007	Skåne län	10-20	2007-06-11	0		38			22	0	0																																											100	0										
2007	Skåne län	30-40	2007-04-23																			0	0							0,92							0,12										0		0															0	
2007	Skåne län	30-40	2007-04-30																			0	0							0,92							0,12										0		0															0	
2007	Skåne län	30-40	2007-05-07																			0	0							0,84							0										0		0															0	
2007	Skåne län	30-40	2007-05-14																			0	0																								0		0															25	
2007	Skåne län	30-40	2007-05-21																			0	5																								0		4															0	
2007	Skåne län	30-40	2007-05-28																			0	3																								0		3															11	
2007	Skåne län	30-40	2007-04-23	0						0	0	12					0									12																												0	0			0						0	
2007	Skåne län	30-40	2007-04-30	0						0	0	12					0									12																												0	0			0						0	
2007	Skåne län	30-40	2007-05-07	0						0	0	0					0									0																												0	0			0						0	
2007	Skåne län	30-40	2007-05-14	0						0	0	2					2									2																												0	0			0						25	
2007	Skåne län	30-40	2007-05-21	0,01						0	0	0,01					0									0,01																												0	0			0						0	
2007	Skåne län	30-40	2007-05-28	2						0	0	0,01					0									2																												0	0,04			0						11	
2007	Skåne län	30-40	2007-06-04	4						0	0	2					0									4																												0	0			0						2	
2007	Skåne län	30-40	2007-06-18	14						0	1,6	16					0									16																												0	0,04			0						0	
2007	Skåne län	30-40	2007-06-25	16						0	0,32	64					0									64																												0	0			0						33	
2007	Skåne län	30-40	2007-07-02	40						0	0	98					2									98																												0	0			0						71	
2007	Skåne län	20-30	2007-04-23	0	0	0	0			0	0								0																																				0										
2007	Skåne län	20-30	2007-04-30	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	20-30	2007-05-07	0	4	0	0			0	0								0																											0		0							0										
2007	Skåne län	20-30	2007-05-14	0	2	0	0			0	0																																												0										
2007	Skåne län	20-30	2007-05-21	0	2	0	0			0	0,16																																												0										
2007	Skåne län	20-30	2007-05-28	0	18	0	0			0	0																																			0									0										
2007	Skåne län	20-30	2007-06-04	0	18	0	2			0,08	0,6																																												0,04										
2007	Skåne län	20-30	2007-06-18	0	52	0	2			0	0,72																																												0,28										
2007	Skåne län	20-30	2007-06-25	0	76	0	2			0	0																																												0										
2007	Skåne län	20-30	2007-07-02	0	76	0	0			0	0																																												0										
2007	Skåne län	20-30	2007-04-23	0						0	0															0																												0	0			0							
2007	Skåne län	20-30	2007-04-30	0						0	0	0					0									0																										0		0	0			0							
2007	Skåne län	20-30	2007-05-07	0						0	0	0					0									0																										0		0	0			0							
2007	Skåne län	20-30	2007-05-14	0						0	0	0					0									0																												0	0			0							
2007	Skåne län	20-30	2007-05-21	0,01						0	0,04	0					0									0																												0	0			0							
2007	Skåne län	20-30	2007-05-28	10						0	0															0																												0	0			0							
2007	Skåne län	20-30	2007-06-04	28						0,04	0															0																												0	0			0							
2007	Skåne län	20-30	2007-06-18	50						0	0,04															0																												0	0			0							
2007	Skåne län	20-30	2007-06-25	58						0	0															4																												0	0,32			0							
2007	Skåne län	20-30	2007-07-02	60						0	0															20																												0	0			0							
2007	Skåne län	10-20	2007-04-23	0						0	0															0																													0						0				
2007	Skåne län	10-20	2007-04-30	0						0	0								0							0																										0			0						0				
2007	Skåne län	10-20	2007-05-07	0						0	0								0							0																										0			0						0				
2007	Skåne län	10-20	2007-05-14	0						0	0															0																													0						0				
2007	Skåne län	10-20	2007-05-21	0						0,04	0															0																										0			0						0				
2007	Skåne län	10-20	2007-05-28	0						0,28	0															0																													0,04						0				
2007	Skåne län	10-20	2007-06-04	0						0,04	0,32															0																													0						0				
2007	Skåne län	10-20	2007-06-18	2						0,16	0,44															0																													0,08						0				
2007	Skåne län	10-20	2007-06-25	0						0,04	0,04															0																													0						0				
2007	Skåne län	10-20	2007-07-02	0,01						0	0,04															2																													0						0				
2007	Skåne län	10-20	2007-04-23																															0																							2								
2007	Skåne län	10-20	2007-04-30																		0						0	0	1					0										349						0						0	2								
2007	Skåne län	10-20	2007-05-07																		0						0	0	1					0										395						1						0	2								
2007	Skåne län	10-20	2007-05-14																		0						0	0	0					0										411						0						0	4								
2007	Skåne län	10-20	2007-05-21																		0						0							2																						0	2								
2007	Skåne län	10-20	2007-05-28																		0						0							0																							3								
2007	Skåne län	10-20	2007-06-04																								3							0										416													2								
2007	Skåne län	10-20	2007-06-18																								0							0																							3								
2007	Skåne län	10-20	2007-06-25												0																										7																3		0,28						
2007	Skåne län	10-20	2007-07-02												0																										6																4		5,88						
2007	Skåne län	10-20	2007-04-23																	0																							60																						
2007	Skåne län	10-20	2007-04-30																	0				0												0							60								0									0					
2007	Skåne län	10-20	2007-05-07																	0				0												0							80								0									0					
2007	Skåne län	10-20	2007-05-14																	0																0							70								0														
2007	Skåne län	10-20	2007-05-21																	0																0							40																	0					
2007	Skåne län	10-20	2007-05-28																	0,01																0,24																								0					
2007	Skåne län	10-20	2007-06-04																	36																2,08																								0					
2007	Skåne län	10-20	2007-06-18																	48																0,24																								0					
2007	Skåne län	10-20	2007-06-25																	60																0																													
2007	Skåne län	10-20	2007-07-02																	44																0																													
2007	Skåne län	10-20	2007-04-23	0	0	0	0			0	0								0																																				0										
2007	Skåne län	10-20	2007-04-30	0	0	0	0			0	0								0																											0		0							0										
2007	Skåne län	10-20	2007-05-07	0	2	0	0			0	0								0																											0		0							0										
2007	Skåne län	10-20	2007-05-14	0	4	0	0			0	0																																												0										
2007	Skåne län	10-20	2007-05-21	0	4	0	0			0	0,04																																												0										
2007	Skåne län	10-20	2007-05-28	0	2	0	0			0	0																																												0										
2007	Skåne län	10-20	2007-06-04	0	0	0	0			0,56	0																																												0										
2007	Skåne län	10-20	2007-06-18	0	0	0	2			0,24	0,48																																												0										
2007	Skåne län	10-20	2007-06-25	0	4	0	12			0	0,12																																												0										
2007	Skåne län	10-20	2007-07-02	0	14	0	2			0	0,04																																												0										
2007	Skåne län	10-20	2007-04-23	0						0	0	8					0									8																												0	0			0						0	
2007	Skåne län	10-20	2007-04-30	0						0	0	8					0									8																												0	0			0						0	
2007	Skåne län	10-20	2007-05-07	0						0	0	2					0									2																												0	0			0						0	
2007	Skåne län	10-20	2007-05-14	0						0	0	4					0									4																												0	0			0						25	
